word,rank,frequency
esposa,384,4203
campo,385,4145
cuyo,386,4142
cuenta,387,4129
tomar,388,4115
esperanza,389,4099
terrible,390,4095
delante,391,4093
flores,392,4093
méxico,393,4071
triste,394,4071
personas,395,4065
sabía,396,4047
sala,397,4026
conde,398,4015
niño,399,4013
fuego,400,3982
necesario,401,3981
entrar,402,3948
hijos,403,3927
coronel,404,3921
felicidad,405,3912
querido,406,3903
preciso,407,3896
pies,408,3880
ti,409,3879
falta,410,3873
siguiente,411,3863
caballero,412,3860
durante,413,3850
hermosa,414,3848
ahí,415,3847
diez,416,3843
vino,417,3818
objeto,418,3810
blanca,419,3807
hermano,420,3783
unas,421,3781
dejó,422,3777
tienen,423,3774
caer,424,3769
habría,425,3764
dolores,426,3750
continuó,427,3748
además,428,3731
muerto,429,3731
cuello,430,3727
suelo,431,3721
jefe,432,3704
soldados,433,3702
ejército,434,3672
trabajo,435,3662
situación,436,3657
cariño,437,3657
oído,438,3645
negro,439,3623
tenían,440,3613
marido,441,3561
desgracia,442,3557
fondo,443,3556
media,444,3550
gusto,445,3533
ninguna,446,3532
suerte,447,3525
nueva,448,3513
ésta,449,3509
entró,450,3496
llevaba,451,3487
feliz,452,3487
fortuna,453,3482
cinco,454,3477
historia,455,3467
volver,456,3462
diciendo,457,3461
largo,458,3445
imposible,459,3444
único,460,3440
blanco,461,3440
movimiento,462,3435
enemigo,463,3428
ve,464,3424
armas,465,3424
sentía,466,3401
sociedad,467,3377
hermana,468,3370
ello,469,3355
presencia,470,3351
iban,471,3347
papel,472,3340
deseo,473,3335
llegado,474,3331
eres,475,3327
ruido,476,3311
hubo,477,3307
libertad,478,3306
oír,479,3306
pocos,480,3305
pasó,481,3284
país,482,3276
atención,483,3254
jóvenes,484,3251
fuese,485,3244
cuidado,486,3239
pasos,487,3229
valor,488,3217
junto,489,3214
sueño,490,3197
seguida,491,3182
sitio,492,3163
fuerzas,493,3161
fuerte,494,3155
da,495,3153
pasaba,496,3148
bastante,497,3147
alto,498,3146
voluntad,499,3139
golpe,500,3134
repuso,501,3131
miedo,502,3129
vuestro,503,3122
guerra,504,3121
hubiese,505,3117
plaza,506,3109
segundo,507,3105
médico,508,3101
ambos,509,3099
gritó,510,3094
seguro,511,3088
vaya,512,3088
alegría,513,3086
última,514,3080
siquiera,515,3065
levantó,516,3059
hallaba,517,3058
carácter,518,3035
pensamiento,519,3030
marcha,520,3014
quiso,521,3013
tras,522,3013
podido,523,3010
pesos,524,3004
rato,525,3003
justicia,526,2999
morir,527,2997
pasión,528,2996
partes,529,2993
conversación,530,2973
podría,531,2972
vivir,532,2967
color,533,2937
dirigió,534,2926
pudiera,535,2919
haya,536,2917
naturaleza,537,2912
sintió,538,2907
perdido,539,2895
dando,540,2895
derecho,541,2891
paz,542,2872
ideas,543,2871
rosas,544,2868
tío,545,2853
esperaba,546,2851
recuerdo,547,2841
confianza,548,2840
creía,549,2838
cama,550,2836
señorita,551,2836
sabes,552,2809
pensar,553,2800
tienes,554,2785
vieja,555,2782
dulce,556,2781
semblante,557,2778
padres,558,2775
noble,559,2771
ningún,560,2770
dejar,561,2768
añadió,562,2767
cabo,563,2767
cura,564,2765
amante,565,2760
lleno,566,2759
digo,567,2754
seis,568,2751
sombra,569,2744
sonrisa,570,2743
existencia,571,2738
fe,572,2730
especie,573,2726
conmigo,574,2711
asunto,575,2709
acababa,576,2708
aquello,577,2707
cortés,578,2699
demasiado,579,2695
mar,580,2691
venía,581,2690
placer,582,2676
van,583,2675
cualquier,584,2670
caballos,585,2664
venido,586,2653
ocho,587,2648
viaje,588,2643
tanta,589,2636
mira,590,2636
ud,591,2634
honor,592,2631
señores,593,2630
patria,594,2627
quienes,595,2625
llama,596,2623
nuestras,597,2622
memoria,598,2616
sombrero,599,2615
calles,600,2600
siguió,601,2596
palacio,602,2594
libre,603,2590
tono,604,2588
comenzó,605,2586
cualquiera,606,2580
menor,607,2566
secreto,608,2564
viene,609,2562
motivo,610,2553
natural,611,2551
necesidad,612,2547
semejante,613,2538
santo,614,2535
abrió,615,2532
alguno,616,2527
encontraba,617,2523
edad,618,2521
poner,619,2512
peligro,620,2509
iglesia,621,2506
grito,622,2504
año,623,2498
acento,624,2497
rey,625,2484
juez,626,2481
venir,627,2481
hacían,628,2477
patio,629,2474
tantos,630,2474
conciencia,631,2472
casas,632,2472
forma,633,2469
capaz,634,2467
llena,635,2464
mala,636,2463
traje,637,2461
encontró,638,2461
pieza,639,2460
siendo,640,2458
sentimiento,641,2450
habitación,642,2446
capital,643,2444
noticia,644,2444
órdenes,645,2438
esposo,646,2436
obra,647,2423
favor,648,2421
tampoco,649,2420
puertas,650,2418
adelante,651,2415
seguía,652,2415
muchacha,653,2409
adiós,654,2409
habéis,655,2407
propia,656,2406
vuelta,657,2405
vestido,658,2405
infeliz,659,2404
ama,660,2403
quieres,661,2395
dije,662,2387
agregó,663,2376
cuales,664,2375
cierta,665,2375
propio,666,2372
dicha,667,2362
perder,668,2356
interior,669,2352
meses,670,2350
horrible,671,2344
veo,672,2337
contrario,673,2336
lecho,674,2335
número,675,2331
escena,676,2329
principio,677,2328
crimen,678,2327
llevar,679,2317
presentó,680,2314
oficial,681,2314
lucha,682,2314
pensaba,683,2312
