,0,1,2
0,nh0004,nh0184,0.3989512456200357
1,nh0004,nh0158,0.3187266824404899
2,nh0004,nh0025,0.4659755714531501
3,nh0007,nh0139,1.3062021056568869
4,nh0007,nh0210,1.4157013001119911
5,nh0007,nh0243,1.1578848315141228
6,nh0015,nh0091,1.0126027281936716
7,nh0015,nh0231,0.2036582095811656
8,nh0015,nh0152,0.334218011901041
9,nh0015,nh0022,1.6133775551324945
10,nh0015,nh0086,0.4749599860186052
11,nh0017,nh0094,1.4050779095831267
12,nh0017,nh0081,1.1919158416094344
13,nh0017,nh0247,0.3021503048754345
14,nh0022,nh0158,0.3606630468411762
15,nh0022,nh0086,1.070501391011442
16,nh0025,nh0184,0.5908420071884825
17,nh0025,nh0100,1.3725246178358594
18,nh0025,nh0115,0.33184613759940346
19,nh0025,nh0026,0.33172269798142745
20,nh0025,nh0142,0.234985470701058
21,nh0025,nh0150,1.3785435904014334
22,nh0025,nh0064,1.4232590644786929
23,nh0025,nh0158,0.6201707259412532
24,nh0025,nh0169,0.5067089858866379
25,nh0026,nh0094,0.26751510339345674
26,nh0026,nh0064,0.3155283016608528
27,nh0035,nh0184,1.0889405323733876
28,nh0035,nh0247,0.5417729230807067
29,nh0035,nh0094,0.5222059991764
30,nh0040,nh0103,0.3594194933478736
31,nh0040,nh0100,1.2895355738447312
32,nh0040,nh0064,0.622420831450602
33,nh0040,nh0158,0.5965263732772852
34,nh0040,nh0160,0.4053888013425636
35,nh0041,nh0100,0.5605757796257146
36,nh0041,nh0115,0.3362096512599431
37,nh0041,nh0064,0.5324777600500461
38,nh0041,nh0158,0.6063167134070482
39,nh0041,nh0084,0.3272430698468325
40,nh0041,nh0086,0.5156002692380146
41,nh0054,nh0091,0.21181494216141614
42,nh0054,nh0139,0.2029144708164541
43,nh0054,nh0247,0.1904404619048507
44,nh0064,nh0184,0.5185860557238788
45,nh0064,nh0094,0.5621017653614996
46,nh0064,nh0100,0.6368135454257714
47,nh0064,nh0103,0.3664147673456503
48,nh0064,nh0125,0.5969153975103721
49,nh0064,nh0142,0.2581018384078566
50,nh0064,nh0150,0.5047385861598488
51,nh0064,nh0158,1.4167980945583212
52,nh0069,nh0152,0.6934434474761183
53,nh0069,nh0158,0.3687396201049305
54,nh0069,nh0125,0.3351780775634236
55,nh0081,nh0094,1.5272170238777767
56,nh0081,nh0084,0.31960108821924005
57,nh0081,nh0166,1.2381899277965969
58,nh0081,nh0160,0.3549042268342579
59,nh0084,nh0086,0.4207293696925017
60,nh0086,nh0176,0.9891269065905544
61,nh0091,nh0210,0.4800742407789042
62,nh0091,nh0100,0.4988518012405164
63,nh0094,nh0160,0.3722482759667485
64,nh0100,nh0103,0.3562600065006697
65,nh0100,nh0142,0.22318772631787487
66,nh0100,nh0150,1.4515948793855469
67,nh0100,nh0166,0.585231014690911
68,nh0106,nh0139,0.229580846991792
69,nh0106,nh0184,0.2576237902463077
70,nh0106,nh0247,0.2894551915147541
71,nh0108,nh0139,0.23967326482461185
72,nh0108,nh0158,0.2484097108792548
73,nh0108,nh0247,0.2424397917181564
74,nh0115,nh0158,0.3436300108727148
75,nh0125,nh0208,0.5295457367657812
76,nh0125,nh0253,1.4237206231605657
77,nh0125,nh0158,1.3326148715070736
78,nh0125,nh0166,0.5584586491680968
79,nh0139,nh0176,0.3921352015625101
80,nh0139,nh0210,1.547270941692769
81,nh0139,nh0247,1.484580262203629
82,nh0139,nh0243,0.4539480557802868
83,nh0152,nh0158,0.3326825233275649
84,nh0158,nh0176,0.2701838909910977
85,nh0158,nh0208,0.5374494077977889
86,nh0158,nh0231,0.20343668141904792
87,nh0166,nh0208,0.4857531950712933
88,nh0169,nh0184,0.5021995347791306
89,nh0169,nh0253,1.0281340017322322
90,nh0208,nh0231,0.19231032461099865
91,nh0210,nh0247,1.1935832459088738
92,nh0243,nh0247,1.2689322489749286
93,nh0247,nh0253,0.5417337691586637
