,cluster
0,0
1,1
2,2
3,3
4,4
5,5
6,4
7,2
8,2
9,1
10,1
11,5
12,3
13,5
14,0
15,1
16,2
17,2
18,1
19,4
20,1
21,2
22,1
23,2
24,3
25,0
26,3
27,5
28,3
29,4
30,1
31,3
32,2
33,2
34,2
35,4
36,2
37,1
38,0
39,1
40,2
41,5
42,5
