,cluster
0,0
1,1
2,1
3,2
4,3
5,1
6,4
7,5
8,5
9,2
10,0
11,0
12,6
13,3
14,2
15,5
16,5
17,1
18,3
19,1
20,2
21,3
22,2
23,2
24,2
25,2
26,2
27,6
28,5
29,3
30,0
31,6
32,3
33,2
34,5
35,4
36,6
37,1
38,4
39,3
40,0
41,2
42,5
43,4
44,2
45,3
46,2
47,3
48,3
49,4
50,4
51,5
52,1
53,0
54,3
55,1
56,2
57,4
58,5
59,0
60,6
61,0
62,5
63,5
64,4
65,6
66,4
67,6
68,4
69,3
70,3
71,5
72,4
73,2
74,4
75,3
76,2
77,0
78,3
79,3
80,6
81,4
82,6
