,cluster
0,0
1,1
2,2
3,3
4,0
5,4
6,5
7,6
8,0
9,4
10,0
11,0
12,6
13,2
14,3
15,4
16,4
17,1
18,2
19,1
20,7
21,0
22,6
23,5
24,6
25,4
26,4
27,0
28,3
29,6
30,5
31,1
32,1
33,3
34,0
35,7
36,1
37,1
38,2
39,7
40,7
41,3
42,3
43,7
44,3
45,1
46,6
47,2
48,1
49,1
50,0
51,4
52,7
53,7
54,5
55,2
56,6
57,7
58,1
59,4
60,2
61,2
62,6
63,0
64,6
65,5
66,7
67,2
68,6
69,0
70,6
71,5
72,2
73,4
74,3
75,2
76,5
77,2
78,2
79,1
80,1
81,7
82,3
