,cluster
0,0
1,1
2,1
3,2
4,3
5,0
6,0
7,1
8,3
9,0
10,1
11,1
12,0
13,0
14,3
15,3
16,1
17,0
18,0
19,1
20,2
21,1
22,0
23,2
24,1
25,2
26,2
27,1
28,0
29,1
30,0
31,2
32,0
33,0
34,2
35,1
36,3
37,0
38,1
39,2
