,cluster
0,0
1,1
2,2
3,3
4,2
5,4
6,1
7,0
8,2
9,4
10,4
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,1
19,1
20,1
21,0
22,4
23,0
24,1
25,5
26,3
27,5
28,4
29,2
30,4
31,0
32,4
33,2
34,4
35,0
36,5
37,1
38,5
39,0
40,0
41,0
42,1
