,0,1,2
0,13.0,40.0,41.0
1,15.0,18.0,10.0
2,29.0,33.0,40.0
3,22.0,26.0,24.0
4,33.0,29.0,8.0
5,22.0,9.0,10.0
6,24.0,2.0,37.0
7,40.0,13.0,2.0
8,33.0,29.0,2.0
9,5.0,28.0,34.0
10,34.0,1.0,22.0
11,7.0,13.0,40.0
12,18.0,37.0,22.0
13,40.0,23.0,7.0
14,23.0,41.0,40.0
15,42.0,19.0,1.0
16,35.0,7.0,40.0
17,41.0,40.0,13.0
18,37.0,15.0,19.0
19,15.0,18.0,37.0
20,19.0,18.0,0.0
21,13.0,40.0,7.0
22,5.0,19.0,34.0
23,40.0,13.0,7.0
24,6.0,15.0,37.0
25,36.0,9.0,38.0
26,2.0,17.0,40.0
27,21.0,38.0,36.0
28,34.0,9.0,10.0
29,2.0,33.0,8.0
30,34.0,9.0,36.0
31,39.0,21.0,40.0
32,34.0,10.0,22.0
33,8.0,29.0,2.0
34,40.0,32.0,7.0
35,40.0,7.0,21.0
36,38.0,21.0,25.0
37,18.0,19.0,6.0
38,36.0,40.0,21.0
39,31.0,35.0,21.0
40,13.0,23.0,7.0
41,17.0,40.0,13.0
42,15.0,19.0,1.0
